p = 191
order basis: [1, i, (i+j)/2, (1+ij)/2]
classes = 2886, targetH = 2886
used: Amax=136, Astart=1, Astep=dynamic, depth=0, bacher_depth=0, rep_order=small_bound, process_new_order=small_bound, LLL_reduced_packets=true
timing(s): total=307591.16 enum=107747.67 packets=11.08 reduce=118.95 merge=199635.42 setup=1630.63 iso=87.23
checks: packet_checked=625598 packet_merged=423663 f1_checked=218267753 f1_merged=424975 f1_classes=1574 slow_count=6 candidates=478130
bounds: old_min=96 old_median=11040 old_max=13056 new_min=14 new_median=22 new_max=96
# Each line: u v w x y z  |  [ u (w,x,y,z) ; conj(a) v ]  | det=1?
[122] 12 24 -5 -3 -1 -2  |  [ 12  (-5,-3,-1,-2) ; (-7,3,1,2)  24 ]  | det=1? true
[123] 12 24 -7 -3 -1 2  |  [ 12  (-7,-3,-1,2) ; (-5,3,1,-2)  24 ]  | det=1? true
[124] 12 23 -4 -3 -2 -1  |  [ 12  (-4,-3,-2,-1) ; (-5,3,2,1)  23 ]  | det=1? true
[125] 12 23 -5 -3 -2 1  |  [ 12  (-5,-3,-2,1) ; (-4,3,2,-1)  23 ]  | det=1? true
[126] 10 24 0 1 -2 -1  |  [ 10  (0,1,-2,-1) ; (-1,-1,2,1)  24 ]  | det=1? true
[127] 10 24 -1 1 -2 1  |  [ 10  (-1,1,-2,1) ; (0,-1,2,-1)  24 ]  | det=1? true
[128] 25 25 -10 -10 -2 -2  |  [ 25  (-10,-10,-2,-2) ; (-12,10,2,2)  25 ]  | det=1? true
[129] 20 25 -7 -3 -3 0  |  [ 20  (-7,-3,-3,0) ; (-7,3,3,0)  25 ]  | det=1? true
[130] 21 25 -8 -4 -3 0  |  [ 21  (-8,-4,-3,0) ; (-8,4,3,0)  25 ]  | det=1? true
[131] 18 26 -6 -5 -2 -2  |  [ 18  (-6,-5,-2,-2) ; (-8,5,2,2)  26 ]  | det=1? true
[132] 18 26 -8 -5 -2 2  |  [ 18  (-8,-5,-2,2) ; (-6,5,2,-2)  26 ]  | det=1? true
[133] 18 26 -5 -2 -3 0  |  [ 18  (-5,-2,-3,0) ; (-5,2,3,0)  26 ]  | det=1? true
[134] 20 25 -8 -5 -2 -2  |  [ 20  (-8,-5,-2,-2) ; (-10,5,2,2)  25 ]  | det=1? true
[135] 23 25 -9 -1 -3 -1  |  [ 23  (-9,-1,-3,-1) ; (-10,1,3,1)  25 ]  | det=1? true
[136] 23 25 -10 -1 -3 1  |  [ 23  (-10,-1,-3,1) ; (-9,1,3,-1)  25 ]  | det=1? true
[137] 23 25 -8 -2 -1 -3  |  [ 23  (-8,-2,-1,-3) ; (-11,2,1,3)  25 ]  | det=1? true
[138] 23 25 -11 -2 -1 3  |  [ 23  (-11,-2,-1,3) ; (-8,2,1,-3)  25 ]  | det=1? true
[139] 25 25 -9 -6 -3 -1  |  [ 25  (-9,-6,-3,-1) ; (-10,6,3,1)  25 ]  | det=1? true
[140] 25 25 -10 -6 -3 1  |  [ 25  (-10,-6,-3,1) ; (-9,6,3,-1)  25 ]  | det=1? true
[141] 25 25 -11 -7 -1 3  |  [ 25  (-11,-7,-1,3) ; (-8,7,1,-3)  25 ]  | det=1? true
[142] 22 26 -11 -3 -3 0  |  [ 22  (-11,-3,-3,0) ; (-11,3,3,0)  26 ]  | det=1? true
[143] 11 26 -5 -3 -2 -1  |  [ 11  (-5,-3,-2,-1) ; (-6,3,2,1)  26 ]  | det=1? true
[144] 11 26 -6 -3 -2 1  |  [ 11  (-6,-3,-2,1) ; (-5,3,2,-1)  26 ]  | det=1? true
[145] 25 26 -3 -2 -3 -2  |  [ 25  (-3,-2,-3,-2) ; (-5,2,3,2)  26 ]  | det=1? true
[146] 25 26 -5 -2 -3 2  |  [ 25  (-5,-2,-3,2) ; (-3,2,3,-2)  26 ]  | det=1? true
[147] 8 26 -4 1 -2 0  |  [ 8  (-4,1,-2,0) ; (-4,-1,2,0)  26 ]  | det=1? true
[148] 8 26 -3 0 0 -2  |  [ 8  (-3,0,0,-2) ; (-5,0,0,2)  26 ]  | det=1? true
[149] 16 25 -3 0 -2 -2  |  [ 16  (-3,0,-2,-2) ; (-5,0,2,2)  25 ]  | det=1? true
[150] 16 25 -5 0 -2 2  |  [ 16  (-5,0,-2,2) ; (-3,0,2,-2)  25 ]  | det=1? true
[151] 10 25 -2 -1 -2 -1  |  [ 10  (-2,-1,-2,-1) ; (-3,1,2,1)  25 ]  | det=1? true
[152] 25 25 0 0 -2 -3  |  [ 25  (0,0,-2,-3) ; (-3,0,2,3)  25 ]  | det=1? true
[153] 25 25 -3 0 -2 3  |  [ 25  (-3,0,-2,3) ; (0,0,2,-3)  25 ]  | det=1? true
[154] 2 25 -1 0 -1 0  |  [ 2  (-1,0,-1,0) ; (-1,0,1,0)  25 ]  | det=1? true
[155] 17 27 -4 -2 -3 0  |  [ 17  (-4,-2,-3,0) ; (-4,2,3,0)  27 ]  | det=1? true
[156] 19 27 -8 -6 -2 -2  |  [ 19  (-8,-6,-2,-2) ; (-10,6,2,2)  27 ]  | det=1? true
[157] 19 27 -10 -6 -2 2  |  [ 19  (-10,-6,-2,2) ; (-8,6,2,-2)  27 ]  | det=1? true
[158] 22 27 -11 -5 -3 0  |  [ 22  (-11,-5,-3,0) ; (-11,5,3,0)  27 ]  | det=1? true
[159] 14 28 -2 1 -2 -2  |  [ 14  (-2,1,-2,-2) ; (-4,-1,2,2)  28 ]  | det=1? true
[160] 14 28 -4 1 -2 2  |  [ 14  (-4,1,-2,2) ; (-2,-1,2,-2)  28 ]  | det=1? true
[161] 27 28 -13 -11 -3 0  |  [ 27  (-13,-11,-3,0) ; (-13,11,3,0)  28 ]  | det=1? true
[162] 25 28 -5 -5 -2 -3  |  [ 25  (-5,-5,-2,-3) ; (-8,5,2,3)  28 ]  | det=1? true
[163] 25 28 -8 -5 -2 3  |  [ 25  (-8,-5,-2,3) ; (-5,5,2,-3)  28 ]  | det=1? true
[164] 26 28 -9 -1 -3 -2  |  [ 26  (-9,-1,-3,-2) ; (-11,1,3,2)  28 ]  | det=1? true
[165] 26 28 -11 -1 -3 2  |  [ 26  (-11,-1,-3,2) ; (-9,1,3,-2)  28 ]  | det=1? true
[166] 26 28 -8 -3 -2 -3  |  [ 26  (-8,-3,-2,-3) ; (-11,3,2,3)  28 ]  | det=1? true
[167] 26 28 -11 -3 -2 3  |  [ 26  (-11,-3,-2,3) ; (-8,3,2,-3)  28 ]  | det=1? true
