p	form_index	Kmax	min_k	represented_ks	count	k	status	decision	nodes	witness	value	gcd	method
47	13	4	2	[2, 3, 4]	3	2	FOUND	YES_EXACT	10	[-2, -1, -1, 0, 0]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	13	4	2	[2, 3, 4]	3	3	FOUND	YES_EXACT	13	[-2, -2, 1, -1, -1]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	13	4	2	[2, 3, 4]	3	4	FOUND	YES_EXACT	6	[-2, -3, 0, -1, -3]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	14	4	1	[1, 2, 3, 4]	4	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	14	4	1	[1, 2, 3, 4]	4	1	FOUND	YES_EXACT	6	[-1, 0, 0, 0, 0]	4	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	14	4	1	[1, 2, 3, 4]	4	2	FOUND	YES_EXACT	8	[0, 0, 0, -1, 0]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	14	4	1	[1, 2, 3, 4]	4	3	FOUND	YES_EXACT	6	[-1, 0, -2, -2, 0]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	14	4	1	[1, 2, 3, 4]	4	4	FOUND	YES_EXACT	6	[-2, -1, -4, -4, 0]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	15	4	1	[1, 2, 3, 4]	4	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	15	4	1	[1, 2, 3, 4]	4	1	FOUND	YES_EXACT	6	[-1, 0, 0, 0, 0]	4	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	15	4	1	[1, 2, 3, 4]	4	2	FOUND	YES_EXACT	7	[-1, 0, -1, -1, 0]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	15	4	1	[1, 2, 3, 4]	4	3	FOUND	YES_EXACT	6	[0, 0, -1, -1, -2]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	15	4	1	[1, 2, 3, 4]	4	4	FOUND	YES_EXACT	10	[-1, 0, -1, -1, -4]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	16	4	1	[1, 2, 3, 4]	4	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	16	4	1	[1, 2, 3, 4]	4	1	FOUND	YES_EXACT	6	[-1, 0, 0, 0, 0]	4	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	16	4	1	[1, 2, 3, 4]	4	2	FOUND	YES_EXACT	22	[0, -1, 0, -1, 0]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	16	4	1	[1, 2, 3, 4]	4	3	FOUND	YES_EXACT	11	[0, -1, -2, -2, 1]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	16	4	1	[1, 2, 3, 4]	4	4	FOUND	YES_EXACT	10	[0, -1, -6, -2, 1]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	17	4	2	[2, 3, 4]	3	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	17	4	2	[2, 3, 4]	3	1	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	17	4	2	[2, 3, 4]	3	2	FOUND	YES_EXACT	7	[1, 0, 0, 0, -1]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	17	4	2	[2, 3, 4]	3	3	FOUND	YES_EXACT	6	[0, 0, 0, -1, -2]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	17	4	2	[2, 3, 4]	3	4	FOUND	YES_EXACT	6	[1, 0, -1, -1, -4]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	18	4	1	[1, 2, 3, 4]	4	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	18	4	1	[1, 2, 3, 4]	4	1	FOUND	YES_EXACT	6	[-1, 0, 0, 0, 0]	4	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	18	4	1	[1, 2, 3, 4]	4	2	FOUND	YES_EXACT	6	[-1, 0, -1, -1, 0]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	18	4	1	[1, 2, 3, 4]	4	3	FOUND	YES_EXACT	9	[-1, 2, -2, -1, -1]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	18	4	1	[1, 2, 3, 4]	4	4	FOUND	YES_EXACT	10	[-2, 2, -2, 0, -3]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	19	4	1	[1, 3, 4]	3	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	19	4	1	[1, 3, 4]	3	1	FOUND	YES_EXACT	6	[-1, 0, 0, 0, 0]	4	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	19	4	1	[1, 3, 4]	3	2	NOT_FOUND	NO_EXACT	66		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	19	4	1	[1, 3, 4]	3	3	FOUND	YES_EXACT	7	[-2, -2, -2, 1, -1]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	19	4	1	[1, 3, 4]	3	4	FOUND	YES_EXACT	117	[-4, -1, -1, -1, -3]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	20	4	2	[2, 3, 4]	3	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	20	4	2	[2, 3, 4]	3	1	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	20	4	2	[2, 3, 4]	3	2	FOUND	YES_EXACT	6	[0, 0, 0, -1, -1]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	20	4	2	[2, 3, 4]	3	3	FOUND	YES_EXACT	10	[0, 1, 0, -2, -2]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	20	4	2	[2, 3, 4]	3	4	FOUND	YES_EXACT	6	[0, 1, -2, -5, -3]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	21	4	1	[1, 2, 3, 4]	4	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	21	4	1	[1, 2, 3, 4]	4	1	FOUND	YES_EXACT	6	[-1, 0, 0, 0, 0]	4	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	21	4	1	[1, 2, 3, 4]	4	2	FOUND	YES_EXACT	6	[-1, 0, -1, 0, -1]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	21	4	1	[1, 2, 3, 4]	4	3	FOUND	YES_EXACT	26	[-2, 1, -1, 0, -2]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	21	4	1	[1, 2, 3, 4]	4	4	FOUND	YES_EXACT	15	[-3, 1, -3, -2, -4]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	22	4	1	[1, 2, 3, 4]	4	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	22	4	1	[1, 2, 3, 4]	4	1	FOUND	YES_EXACT	6	[-1, 0, 0, 0, 0]	4	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	22	4	1	[1, 2, 3, 4]	4	2	FOUND	YES_EXACT	6	[0, 0, 0, 0, -1]	16	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	22	4	1	[1, 2, 3, 4]	4	3	FOUND	YES_EXACT	8	[-1, 1, -1, 0, -2]	64	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	22	4	1	[1, 2, 3, 4]	4	4	FOUND	YES_EXACT	13	[0, 3, -3, 0, -4]	256	1	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
47	23	4	1	[1, 2, 3, 4]	4	0	NOT_FOUND	NO_EXACT	6		nothing	nothing	LLL + Fincke-Pohst / Kannan-style ellipsoid search [BigFloat-safe]
