p = 83
order basis: [1, i, (i+j)/2, (1+ij)/2]
classes = 296, targetH = 296, reps_seen = 72103
used: Amax=68, Astart=1, Astep=dynamic, depth=0, bacher_depth=0, rep_order=small_bound, LLL_reduced_packets=true
timing(s): total=9324.01 enum=1276.23 packets=1.32 reduce=21.05 merge=8020.13 setup=6504.47 iso=105.53
checks: checked=9429856 merged=71807 slow_count=467 candidates=72103
bounds: old_min=42 old_median=2394 old_max=2856 new_min=10 new_median=14 new_max=42
# Each line: u v w x y z  |  [ u (w,x,y,z) ; conj(a) v ]  | det=1?
[135] 21 22 -8 -4 -4 -1  |  [ 21  (-8,-4,-4,-1) ; (-9,4,4,1)  22 ]  | det=1? true
[136] 22 22 -7 0 -4 -2  |  [ 22  (-7,0,-4,-2) ; (-9,0,4,2)  22 ]  | det=1? true
[137] 22 22 -9 0 -4 2  |  [ 22  (-9,0,-4,2) ; (-7,0,4,-2)  22 ]  | det=1? true
[138] 13 23 -3 -2 -3 -2  |  [ 13  (-3,-2,-3,-2) ; (-5,2,3,2)  23 ]  | det=1? true
[139] 13 23 -5 -2 -3 2  |  [ 13  (-5,-2,-3,2) ; (-3,2,3,-2)  23 ]  | det=1? true
[140] 14 23 -6 0 -3 -2  |  [ 14  (-6,0,-3,-2) ; (-8,0,3,2)  23 ]  | det=1? true
[141] 14 23 -8 0 -3 2  |  [ 14  (-8,0,-3,2) ; (-6,0,3,-2)  23 ]  | det=1? true
[142] 14 23 -5 -2 -2 -3  |  [ 14  (-5,-2,-2,-3) ; (-8,2,2,3)  23 ]  | det=1? true
[143] 14 23 -8 -2 -2 3  |  [ 14  (-8,-2,-2,3) ; (-5,2,2,-3)  23 ]  | det=1? true
[144] 15 24 0 -1 -1 -4  |  [ 15  (0,-1,-1,-4) ; (-4,1,1,4)  24 ]  | det=1? true
[145] 16 24 -5 2 -4 -1  |  [ 16  (-5,2,-4,-1) ; (-6,-2,4,1)  24 ]  | det=1? true
[146] 16 24 -6 2 -4 1  |  [ 16  (-6,2,-4,1) ; (-5,-2,4,-1)  24 ]  | det=1? true
[147] 17 23 -7 -6 -3 -2  |  [ 17  (-7,-6,-3,-2) ; (-9,6,3,2)  23 ]  | det=1? true
[148] 17 23 -9 -6 -3 2  |  [ 17  (-9,-6,-3,2) ; (-7,6,3,-2)  23 ]  | det=1? true
[149] 17 23 -3 -3 -1 -4  |  [ 17  (-3,-3,-1,-4) ; (-7,3,1,4)  23 ]  | det=1? true
[150] 18 23 -7 0 -4 -1  |  [ 18  (-7,0,-4,-1) ; (-8,0,4,1)  23 ]  | det=1? true
[151] 18 24 -3 2 -4 -2  |  [ 18  (-3,2,-4,-2) ; (-5,-2,4,2)  24 ]  | det=1? true
[152] 18 24 -5 2 -4 2  |  [ 18  (-5,2,-4,2) ; (-3,-2,4,-2)  24 ]  | det=1? true
[153] 18 24 -2 1 -2 -4  |  [ 18  (-2,1,-2,-4) ; (-6,-1,2,4)  24 ]  | det=1? true
[154] 18 24 -6 1 -2 4  |  [ 18  (-6,1,-2,4) ; (-2,-1,2,-4)  24 ]  | det=1? true
[155] 19 24 -5 0 -4 -2  |  [ 19  (-5,0,-4,-2) ; (-7,0,4,2)  24 ]  | det=1? true
[156] 19 24 -7 0 -4 2  |  [ 19  (-7,0,-4,2) ; (-5,0,4,-2)  24 ]  | det=1? true
[157] 20 23 -6 -6 -1 -4  |  [ 20  (-6,-6,-1,-4) ; (-10,6,1,4)  23 ]  | det=1? true
[158] 20 23 -10 -6 -1 4  |  [ 20  (-10,-6,-1,4) ; (-6,6,1,-4)  23 ]  | det=1? true
[159] 20 24 -9 -4 -4 -1  |  [ 20  (-9,-4,-4,-1) ; (-10,4,4,1)  24 ]  | det=1? true
[160] 20 24 -10 -4 -4 1  |  [ 20  (-10,-4,-4,1) ; (-9,4,4,-1)  24 ]  | det=1? true
[161] 20 24 -7 2 -4 -2  |  [ 20  (-7,2,-4,-2) ; (-9,-2,4,2)  24 ]  | det=1? true
[162] 20 24 -9 2 -4 2  |  [ 20  (-9,2,-4,2) ; (-7,-2,4,-2)  24 ]  | det=1? true
[163] 23 23 -7 -5 -4 -2  |  [ 23  (-7,-5,-4,-2) ; (-9,5,4,2)  23 ]  | det=1? true
[164] 23 23 -9 -5 -4 2  |  [ 23  (-9,-5,-4,2) ; (-7,5,4,-2)  23 ]  | det=1? true
[165] 23 23 -6 -6 -2 -4  |  [ 23  (-6,-6,-2,-4) ; (-10,6,2,4)  23 ]  | det=1? true
[166] 23 23 -10 -6 -2 4  |  [ 23  (-10,-6,-2,4) ; (-6,6,2,-4)  23 ]  | det=1? true
[167] 24 24 -11 -2 -4 -2  |  [ 24  (-11,-2,-4,-2) ; (-13,2,4,2)  24 ]  | det=1? true
[168] 24 24 -13 -2 -4 2  |  [ 24  (-13,-2,-4,2) ; (-11,2,4,-2)  24 ]  | det=1? true
[169] 11 26 -2 -1 -3 -2  |  [ 11  (-2,-1,-3,-2) ; (-4,1,3,2)  26 ]  | det=1? true
[170] 11 26 -4 -1 -3 2  |  [ 11  (-4,-1,-3,2) ; (-2,1,3,-2)  26 ]  | det=1? true
[171] 12 25 -3 -2 -2 -3  |  [ 12  (-3,-2,-2,-3) ; (-6,2,2,3)  25 ]  | det=1? true
[172] 12 25 -6 -2 -2 3  |  [ 12  (-6,-2,-2,3) ; (-3,2,2,-3)  25 ]  | det=1? true
[173] 14 26 -2 0 -4 -1  |  [ 14  (-2,0,-4,-1) ; (-3,0,4,1)  26 ]  | det=1? true
[174] 14 26 -3 0 -4 1  |  [ 14  (-3,0,-4,1) ; (-2,0,4,-1)  26 ]  | det=1? true
[175] 15 25 -3 -1 -4 -1  |  [ 15  (-3,-1,-4,-1) ; (-4,1,4,1)  25 ]  | det=1? true
[176] 15 25 -4 -1 -4 1  |  [ 15  (-4,-1,-4,1) ; (-3,1,4,-1)  25 ]  | det=1? true
[177] 15 26 -4 -2 -4 -1  |  [ 15  (-4,-2,-4,-1) ; (-5,2,4,1)  26 ]  | det=1? true
[178] 15 26 -5 -2 -4 1  |  [ 15  (-5,-2,-4,1) ; (-4,2,4,-1)  26 ]  | det=1? true
[179] 16 25 -6 0 -4 -1  |  [ 16  (-6,0,-4,-1) ; (-7,0,4,1)  25 ]  | det=1? true
[180] 16 25 -7 0 -4 1  |  [ 16  (-7,0,-4,1) ; (-6,0,4,-1)  25 ]  | det=1? true
[181] 16 25 -5 -2 -4 -1  |  [ 16  (-5,-2,-4,-1) ; (-6,2,4,1)  25 ]  | det=1? true
[182] 16 25 -6 -2 -4 1  |  [ 16  (-6,-2,-4,1) ; (-5,2,4,-1)  25 ]  | det=1? true
[183] 17 26 -3 0 -2 -4  |  [ 17  (-3,0,-2,-4) ; (-7,0,2,4)  26 ]  | det=1? true
[184] 17 26 -7 0 -2 4  |  [ 17  (-7,0,-2,4) ; (-3,0,2,-4)  26 ]  | det=1? true
[185] 18 25 -3 -2 -2 -4  |  [ 18  (-3,-2,-2,-4) ; (-7,2,2,4)  25 ]  | det=1? true
[186] 18 25 -7 -2 -2 4  |  [ 18  (-7,-2,-2,4) ; (-3,2,2,-4)  25 ]  | det=1? true
[187] 19 25 -8 -5 -4 -1  |  [ 19  (-8,-5,-4,-1) ; (-9,5,4,1)  25 ]  | det=1? true
[188] 19 25 -9 -5 -4 1  |  [ 19  (-9,-5,-4,1) ; (-8,5,4,-1)  25 ]  | det=1? true
[189] 20 26 -9 0 -4 -2  |  [ 20  (-9,0,-4,-2) ; (-11,0,4,2)  26 ]  | det=1? true
[190] 21 25 -9 -1 -4 -2  |  [ 21  (-9,-1,-4,-2) ; (-11,1,4,2)  25 ]  | det=1? true
[191] 21 25 -9 -7 -4 -1  |  [ 21  (-9,-7,-4,-1) ; (-10,7,4,1)  25 ]  | det=1? true
[192] 21 26 -8 -5 -4 -2  |  [ 21  (-8,-5,-4,-2) ; (-10,5,4,2)  26 ]  | det=1? true
[193] 21 26 -10 -5 -4 2  |  [ 21  (-10,-5,-4,2) ; (-8,5,4,-2)  26 ]  | det=1? true
[194] 25 25 -8 -1 -5 -1  |  [ 25  (-8,-1,-5,-1) ; (-9,1,5,1)  25 ]  | det=1? true
[195] 25 25 -9 -1 -5 1  |  [ 25  (-9,-1,-5,1) ; (-8,1,5,-1)  25 ]  | det=1? true
[196] 26 26 -6 0 -2 -5  |  [ 26  (-6,0,-2,-5) ; (-11,0,2,5)  26 ]  | det=1? true
[197] 26 26 -11 0 -2 5  |  [ 26  (-11,0,-2,5) ; (-6,0,2,-5)  26 ]  | det=1? true
[198] 6 28 0 1 -2 -2  |  [ 6  (0,1,-2,-2) ; (-2,-1,2,2)  28 ]  | det=1? true
[199] 13 28 -2 0 -4 -1  |  [ 13  (-2,0,-4,-1) ; (-3,0,4,1)  28 ]  | det=1? true
[200] 13 28 -3 0 -4 1  |  [ 13  (-3,0,-4,1) ; (-2,0,4,-1)  28 ]  | det=1? true
[201] 14 28 -4 -1 -1 -4  |  [ 14  (-4,-1,-1,-4) ; (-8,1,1,4)  28 ]  | det=1? true
[202] 15 28 -1 2 -4 -2  |  [ 15  (-1,2,-4,-2) ; (-3,-2,4,2)  28 ]  | det=1? true
[203] 15 28 -3 2 -4 2  |  [ 15  (-3,2,-4,2) ; (-1,-2,4,-2)  28 ]  | det=1? true
[204] 19 28 -2 2 -4 -3  |  [ 19  (-2,2,-4,-3) ; (-5,-2,4,3)  28 ]  | det=1? true
[205] 19 28 -5 2 -4 3  |  [ 19  (-5,2,-4,3) ; (-2,-2,4,-3)  28 ]  | det=1? true
[206] 21 27 -4 0 -5 -1  |  [ 21  (-4,0,-5,-1) ; (-5,0,5,1)  27 ]  | det=1? true
