p = 107
order basis: [1, i, (i+j)/2, (1+ij)/2]
classes = 581, targetH = 581
used: Amax=92, Astart=1, Astep=dynamic, depth=0, bacher_depth=0, rep_order=small_bound, process_new_order=small_bound, LLL_reduced_packets=true
timing(s): total=46665.46 enum=7037.66 packets=2.88 reduce=30.21 merge=39584.52 setup=33115.35 iso=227.54
checks: checked=46370722 merged=182208 slow_count=2413 candidates=183762
bounds: old_min=54 old_median=4158 old_max=4968 new_min=12 new_median=18 new_max=54
# Each line: u v w x y z  |  [ u (w,x,y,z) ; conj(a) v ]  | det=1?
[106] 21 21 -9 -5 -2 3  |  [ 21  (-9,-5,-2,3) ; (-6,5,2,-3)  21 ]  | det=1? true
[107] 20 22 -6 -5 -3 -2  |  [ 20  (-6,-5,-3,-2) ; (-8,5,3,2)  22 ]  | det=1? true
[108] 20 22 -8 -5 -3 2  |  [ 20  (-8,-5,-3,2) ; (-6,5,3,-2)  22 ]  | det=1? true
[109] 22 22 -9 -4 -2 -3  |  [ 22  (-9,-4,-2,-3) ; (-12,4,2,3)  22 ]  | det=1? true
[110] 22 22 -12 -4 -2 3  |  [ 22  (-12,-4,-2,3) ; (-9,4,2,-3)  22 ]  | det=1? true
[111] 7 21 -3 1 -2 -1  |  [ 7  (-3,1,-2,-1) ; (-4,-1,2,1)  21 ]  | det=1? true
[112] 7 21 -4 1 -2 1  |  [ 7  (-4,1,-2,1) ; (-3,-1,2,-1)  21 ]  | det=1? true
[113] 11 21 -3 1 -2 -2  |  [ 11  (-3,1,-2,-2) ; (-5,-1,2,2)  21 ]  | det=1? true
[114] 11 21 -5 1 -2 2  |  [ 11  (-5,1,-2,2) ; (-3,-1,2,-2)  21 ]  | det=1? true
[115] 13 21 -1 0 -3 -1  |  [ 13  (-1,0,-3,-1) ; (-2,0,3,1)  21 ]  | det=1? true
[116] 13 21 -2 0 -3 1  |  [ 13  (-2,0,-3,1) ; (-1,0,3,-1)  21 ]  | det=1? true
[117] 22 22 -2 -3 -1 -4  |  [ 22  (-2,-3,-1,-4) ; (-6,3,1,4)  22 ]  | det=1? true
[118] 22 22 -6 -3 -1 4  |  [ 22  (-6,-3,-1,4) ; (-2,3,1,-4)  22 ]  | det=1? true
[119] 16 22 0 0 -2 -3  |  [ 16  (0,0,-2,-3) ; (-3,0,2,3)  22 ]  | det=1? true
[120] 16 22 -3 0 -2 3  |  [ 16  (-3,0,-2,3) ; (0,0,2,-3)  22 ]  | det=1? true
[121] 19 22 -6 -3 -3 -2  |  [ 19  (-6,-3,-3,-2) ; (-8,3,3,2)  22 ]  | det=1? true
[122] 19 22 -8 -3 -3 2  |  [ 19  (-8,-3,-3,2) ; (-6,3,3,-2)  22 ]  | det=1? true
[123] 6 21 -3 -2 -2 0  |  [ 6  (-3,-2,-2,0) ; (-3,2,2,0)  21 ]  | det=1? true
[124] 18 21 -3 -2 -2 -3  |  [ 18  (-3,-2,-2,-3) ; (-6,2,2,3)  21 ]  | det=1? true
[125] 18 21 -6 -2 -2 3  |  [ 18  (-6,-2,-2,3) ; (-3,2,2,-3)  21 ]  | det=1? true
[126] 10 24 -4 1 -2 -2  |  [ 10  (-4,1,-2,-2) ; (-6,-1,2,2)  24 ]  | det=1? true
