p = 179
order basis: [1, i, (i+j)/2, (1+ij)/2]
classes = 2404, targetH = 2404
used: Amax=128, Astart=1, Astep=dynamic, depth=0, bacher_depth=0, rep_order=small_bound, process_new_order=small_bound, LLL_reduced_packets=true
timing(s): total=236150.09 enum=70289.32 packets=14.11 reduce=102.36 merge=165696.1 setup=1437.9 iso=95.51
checks: packet_checked=620557 packet_merged=397527 f1_checked=159810194 f1_merged=398715 f1_classes=1216 slow_count=5 candidates=403784
bounds: old_min=90 old_median=9720 old_max=11520 new_min=14 new_median=22 new_max=90
# Each line: u v w x y z  |  [ u (w,x,y,z) ; conj(a) v ]  | det=1?
[105] 18 24 -7 -2 -2 -2  |  [ 18  (-7,-2,-2,-2) ; (-9,2,2,2)  24 ]  | det=1? true
[106] 18 24 -9 -2 -2 2  |  [ 18  (-9,-2,-2,2) ; (-7,2,2,-2)  24 ]  | det=1? true
[107] 19 24 -8 -3 -2 -2  |  [ 19  (-8,-3,-2,-2) ; (-10,3,2,2)  24 ]  | det=1? true
[108] 19 24 -10 -3 -2 2  |  [ 19  (-10,-3,-2,2) ; (-8,3,2,-2)  24 ]  | det=1? true
[109] 18 23 -1 -2 0 -3  |  [ 18  (-1,-2,0,-3) ; (-4,2,0,3)  23 ]  | det=1? true
[110] 10 23 -5 -4 -2 0  |  [ 10  (-5,-4,-2,0) ; (-5,4,2,0)  23 ]  | det=1? true
[111] 11 23 -3 -3 -1 -2  |  [ 11  (-3,-3,-1,-2) ; (-5,3,1,2)  23 ]  | det=1? true
[112] 20 23 -6 0 0 -3  |  [ 20  (-6,0,0,-3) ; (-9,0,0,3)  23 ]  | det=1? true
[113] 17 24 -6 1 -2 -2  |  [ 17  (-6,1,-2,-2) ; (-8,-1,2,2)  24 ]  | det=1? true
[114] 17 24 -8 1 -2 2  |  [ 17  (-8,1,-2,2) ; (-6,-1,2,-2)  24 ]  | det=1? true
[115] 24 24 -19 -2 -2 1  |  [ 24  (-19,-2,-2,1) ; (-18,2,2,-1)  24 ]  | det=1? true
[116] 11 24 -5 -2 -2 -1  |  [ 11  (-5,-2,-2,-1) ; (-6,2,2,1)  24 ]  | det=1? true
[117] 16 24 -4 1 -2 -2  |  [ 16  (-4,1,-2,-2) ; (-6,-1,2,2)  24 ]  | det=1? true
[118] 16 24 -6 1 -2 2  |  [ 16  (-6,1,-2,2) ; (-4,-1,2,-2)  24 ]  | det=1? true
[119] 16 24 -3 -2 -2 -2  |  [ 16  (-3,-2,-2,-2) ; (-5,2,2,2)  24 ]  | det=1? true
